City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Serenje,ZM,-13.2325,30.2352,61.56,37,3,5.01,clear sky
70,Lagoa,PT,39.05,-27.9833,69.13,84,100,15.39,light rain
71,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,5.75,scattered clouds
72,Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,80,5.99,broken clouds
73,Hobart,AU,-42.8794,147.3294,58.26,68,75,17.27,broken clouds
74,Nanuque,BR,-17.8392,-40.3539,74.23,78,82,8.34,broken clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,14.97,overcast clouds
76,Puerto Penasco,MX,31.3167,-113.5333,83.91,75,2,3.0,clear sky
77,Sur,OM,22.5667,59.5289,81.55,56,0,3.74,clear sky
78,Avera,US,33.194,-82.5271,60.31,38,27,2.04,scattered clouds
79,Vrangel,RU,42.7297,133.0839,49.03,30,34,7.25,scattered clouds
80,Honningsvag,NO,70.9821,25.9704,42.55,81,75,16.11,broken clouds
81,Torbay,CA,47.6666,-52.7314,52.27,85,20,19.57,few clouds
82,Talnakh,RU,69.4865,88.3972,31.21,97,100,4.34,overcast clouds
83,Haukipudas,FI,65.1765,25.3523,50.14,87,100,20.87,light rain
84,Nouakchott,MR,18.0858,-15.9785,91.33,45,36,5.14,scattered clouds
85,Kavaratti,IN,10.5669,72.642,80.87,78,98,13.65,overcast clouds
86,Longyearbyen,SJ,78.2186,15.6401,39.04,75,40,5.75,scattered clouds
87,Tiksi,RU,71.6872,128.8694,23.86,83,100,14.36,overcast clouds
88,Avarua,CK,-21.2078,-159.775,80.65,65,20,19.57,few clouds
89,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,2.3,clear sky
90,Tasiilaq,GL,65.6145,-37.6368,30.36,50,86,6.22,overcast clouds
91,Chapais,CA,49.7834,-74.8492,58.78,97,99,6.93,overcast clouds
92,Bredasdorp,ZA,-34.5322,20.0403,48.69,91,1,7.29,clear sky
93,Thompson,CA,55.7435,-97.8558,28.56,86,75,13.8,broken clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,60.1,90,0,5.75,clear sky
95,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,86,99,10.89,overcast clouds
96,Dosso,NE,13.049,3.1937,81.25,69,28,7.02,scattered clouds
97,Puerto Escondido,MX,15.85,-97.0667,83.23,57,75,5.75,broken clouds
98,Cockburn Town,TC,21.4612,-71.1419,83.39,75,99,12.35,overcast clouds
99,Severo-Kurilsk,RU,50.6789,156.125,46.78,51,33,11.52,scattered clouds
100,Chokurdakh,RU,70.6333,147.9167,20.7,90,94,8.12,overcast clouds
101,Abha,SA,18.2164,42.5053,67.82,24,40,6.91,scattered clouds
102,Henties Bay,NA,-22.116,14.2845,54.64,91,65,10.94,broken clouds
103,Ribeira Grande,PT,38.5167,-28.7,70.65,84,98,5.59,overcast clouds
104,Auki,SB,-8.7676,160.7034,86.22,57,88,3.62,overcast clouds
105,Bengkulu,ID,-3.8004,102.2655,78.53,82,100,2.82,overcast clouds
