City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Myitkyina,MM,76.05,broken clouds,25.3833,97.4,Shwe Phyu Hotel
469,Capitao Poco,BR,73.67,clear sky,-1.7464,-47.0594,Hotel New Tokyo
473,Sao Filipe,CV,78.48,overcast clouds,14.8961,-24.4956,Hotel Xaguate
492,Petatlan,MX,77.32,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
493,Abu Kamal,SY,79.0,clear sky,34.4506,40.9171,البوكمال
496,Ilheus,BR,78.62,clear sky,-14.7889,-39.0494,Barravento Hotel
498,Motril,ES,69.26,few clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
500,Miajadas,ES,69.46,clear sky,39.1513,-5.9084,Hotel Triana
505,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
506,Pochutla,MX,74.66,few clouds,15.7432,-96.4661,Hotel Posada San Jose
512,Siavonga,ZM,72.86,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
514,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
515,Progreso,MX,76.89,clear sky,21.2833,-89.6667,Playa Linda Hotel
518,Aljezur,PT,66.94,clear sky,37.3191,-8.8033,Amazigh Hostel
521,Touros,BR,76.91,clear sky,-5.1989,-35.4608,INN NEW HORIZON
526,Tarauaca,BR,77.52,broken clouds,-8.1614,-70.7656,Flat Temporada
535,Meulaboh,ID,77.54,overcast clouds,4.1363,96.1285,Kost Pria
536,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
537,Camargo,MX,72.36,broken clouds,27.6667,-105.1667,Hotel Santa Fe
539,Tinaquillo,VE,70.83,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
553,Takoradi,GH,74.93,broken clouds,4.8845,-1.7554,Raybow International Hotel
556,Luang Prabang,LA,76.96,mist,19.8856,102.1347,The Luang Say Residence
560,Koumac,NC,76.39,overcast clouds,-20.5667,164.2833,Le Monitel
562,Ardakan,IR,69.78,clear sky,32.31,54.0175,Ardakan Hotel
570,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
576,Winslow,US,73.58,overcast clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
578,San Felipe,VE,73.18,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
581,Payyannur,IN,77.56,overcast clouds,12.1,75.2,Kavvayi Beach House
584,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
586,Porto Novo,BJ,75.81,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
587,Sesheke,ZM,68.99,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
589,Gamboma,CG,74.19,overcast clouds,-1.8764,15.8644,Residence N'Keni
590,Panaba,MX,70.34,clear sky,21.2833,-88.2667,Hotel Don Fernando
591,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
592,Williams Lake,CA,67.57,few clouds,52.1415,-122.1445,Stampeder Motel
597,Kaabong,UG,66.13,overcast clouds,3.4836,34.1492,Madona Guest House Kaabong
599,Porciuncula,BR,70.38,overcast clouds,-20.9628,-42.0408,Pousada Cordeiro
600,Azuaga,ES,67.96,clear sky,38.2667,-5.6833,Casa Rural La Hoya
602,Bowen,AU,78.53,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
605,Gat,IL,73.4,clear sky,31.61,34.7642,OlusHome
607,Sabang,ID,79.92,overcast clouds,5.8933,95.3214,Hotel Citra
610,Ninghai,CN,65.77,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
613,Inhambane,MZ,70.18,clear sky,-23.865,35.3833,Oceano
615,Fukuma,JP,73.29,overcast clouds,33.7667,130.4667,Masago
616,Sao Felix Do Xingu,BR,79.54,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
618,Victor Harbor,AU,70.0,clear sky,-35.5667,138.6167,McCracken Country Club
619,Ormara,PK,78.28,clear sky,25.2088,64.6357,Kenara Colony House for Rent
628,Belmonte,BR,74.25,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
629,Matara,LK,78.98,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
631,Yanam,IN,78.31,overcast clouds,16.7333,82.2167,The Regency Hotel
633,Kawardha,IN,74.26,overcast clouds,22.0167,81.25,STARiHOTELS Raipur Road kawardha
636,Iracoubo,GF,79.23,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
637,High Rock,BS,78.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
639,Warri,NG,75.43,overcast clouds,5.5167,5.75,GT Guesthouse
640,San Zenon,CO,75.76,overcast clouds,9.2422,-74.5004,HOTEL TIERRAFIRME
643,Seminole,US,73.38,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
644,Magadi,IN,69.96,overcast clouds,12.9667,77.2333,Gobi centre
647,Formosa,AR,69.78,overcast clouds,-26.1775,-58.1781,Asterión Departamentos
650,Veraval,IN,79.72,scattered clouds,20.9,70.3667,Lords Inn Somnath
651,Shakawe,BW,75.38,clear sky,-18.3667,21.85,Ditlhapi Guest House
652,Yei,SS,65.89,light rain,4.095,30.6779,Twins Hotel Yei
658,Adiake,CI,74.44,light rain,5.2863,-3.304,HOTEL COEUR D'OR
669,Nazas,MX,71.02,overcast clouds,25.2333,-104.1333,Hotel Río Nazas
